,city_name,cloudiness,country,date,humidity,lat,lon,max_temp,windspeed
0,Saint George,75,GR,1555775400,66,39.45,22.34,55.4,9.17
1,Souillac,0,FR,1555778168,25,45.6,-0.6,77.0,5.82
2,Torbay,90,CA,1555778004,93,47.66,-52.73,44.01,3.36
3,Birao,100,CF,1555778850,7,10.3,22.78,96.18,8.84
4,Lincoln,1,US,1555778709,30,40.8,-96.67,72.0,14.99
5,Rikitea,21,PF,1555778262,81,-23.12,-134.97,78.36,16.31
6,Ushuaia,90,AR,1555776000,100,-54.81,-68.31,42.8,25.28
7,Sivas,75,TR,1555776660,92,39.75,37.01,28.4,17.22
8,Grand Gaube,75,MU,1555778341,78,-20.01,57.66,80.6,11.41
9,Gat,0,SN,1555776000,42,14.69,-16.54,84.2,16.11
10,Ekhabi,87,RU,1555778852,90,53.51,142.97,31.38,12.86
11,Saldanha,40,PT,1555778388,42,41.42,-6.55,67.38,9.86
12,Dikson,95,RU,1555778277,88,73.51,80.55,2.04,15.5
13,Kruisfontein,0,ZA,1555778353,87,-34.0,24.73,57.12,7.45
14,Puerto Escondido,50,MX,1555778853,29,15.86,-97.07,95.28,8.34
15,Ribeira Grande,75,PT,1555776000,88,38.52,-28.7,64.4,5.82
16,Jamestown,100,AU,1555778288,77,-33.21,138.6,63.42,10.38
17,Cayenne,75,GF,1555776000,62,4.94,-52.33,87.8,16.11
18,Upernavik,100,GL,1555778276,73,72.79,-56.15,13.56,6.31
19,San Patricio,97,PY,1555778282,71,-26.98,-56.83,85.38,2.21
20,Busselton,25,AU,1555778190,64,-33.64,115.35,44.01,7.94
21,Port Alfred,11,ZA,1555778231,84,-33.59,26.89,63.0,5.99
22,Port Blair,0,IN,1555778854,72,11.67,92.75,85.74,8.79
23,Luderitz,0,NA,1555776000,72,-26.65,15.16,64.4,21.92
24,Garowe,63,SO,1555778855,39,8.41,48.48,91.86,10.31
25,Punta Arenas,0,CL,1555777994,66,-53.16,-70.91,51.8,44.96
26,College,75,US,1555778254,79,64.86,-147.8,32.0,4.7
27,Albany,90,US,1555778283,82,42.65,-73.75,70.0,9.17
28,Colmar,0,FR,1555778830,29,48.08,7.36,77.0,12.75
29,Mataura,0,NZ,1555778288,97,-46.19,168.86,47.94,2.01
30,Talnakh,0,RU,1555776000,83,69.49,88.39,-5.81,8.95
31,East London,0,ZA,1555772400,68,-33.02,27.91,64.4,17.22
32,Butaritari,95,KI,1555778289,80,3.07,172.79,82.14,14.7
33,Hanmer Springs,100,NZ,1555778857,95,-42.52,172.83,43.8,2.39
34,Svolvaer,87,NO,1555778782,61,68.23,14.57,50.0,15.99
35,Kavaratti,68,IN,1555778411,71,10.57,72.64,84.3,12.24
36,Yellowknife,90,CA,1555776000,85,62.45,-114.38,19.4,6.93
37,Vaini,1,IN,1555778274,70,15.34,74.49,77.1,2.66
38,Avarua,4,CK,1555776000,60,-21.21,-159.78,71.6,4.7
39,Tasiilaq,75,GL,1555775400,94,65.61,-37.64,33.8,24.16
40,Makakilo City,1,US,1555778589,73,21.35,-158.09,75.2,4.7
41,Touros,40,BR,1555776000,79,-5.2,-35.46,84.2,6.93
42,Mar del Plata,0,AR,1555778200,32,-46.43,-67.52,67.02,13.56
43,Kapaa,90,US,1555778000,73,22.08,-159.32,75.2,17.22
44,Kontagora,59,NG,1555778860,14,10.4,5.47,102.12,3.8
45,Salalah,40,OM,1555775400,70,17.01,54.1,84.2,8.05
46,Beira,0,ES,1555778167,68,43.2,-8.36,78.01,10.29
47,Fairbanks,75,US,1555778702,79,64.84,-147.72,35.01,4.7
48,Hermanus,21,ZA,1555777821,90,-34.42,19.24,61.0,5.84
49,Nikolskoye,40,RU,1555778198,76,59.7,30.79,46.0,6.71
50,Victor Harbor,75,AU,1555778801,77,-35.55,138.62,66.2,12.75
51,Hobart,0,AU,1555777988,82,-42.88,147.33,64.99,8.05
52,Muisne,75,EC,1555776000,83,0.61,-80.02,84.2,6.93
53,Geraldton,75,CA,1555776000,34,49.72,-86.95,48.2,18.34
54,Fort Saint James,0,CA,1555778862,35,54.43,-124.25,43.62,2.84
55,Longyearbyen,75,NO,1555775400,92,78.22,15.63,30.2,8.05
56,Ramsar,90,IR,1555776000,100,36.92,50.64,48.2,6.93
57,Portland,90,US,1555778447,76,45.52,-122.67,54.0,3.36
58,Novouzensk,38,RU,1555778864,43,50.46,48.14,44.34,4.72
59,Maniitsoq,97,GL,1555778299,51,65.42,-52.9,32.28,10.2
60,Bredasdorp,9,ZA,1555777804,68,-34.53,20.04,64.4,6.93
61,Ponta do Sol,0,BR,1555778322,53,-20.63,-46.0,77.46,6.2
62,Cape Town,20,ZA,1555778116,82,-33.93,18.42,64.0,8.05
63,Rio Grande,75,BR,1555776000,48,-32.03,-52.1,86.0,13.87
64,Arbazh,91,RU,1555778865,71,57.68,48.31,42.9,2.35
65,Castro,75,CL,1555776000,81,-42.48,-73.76,50.0,5.82
66,Umba,79,RU,1555778866,97,66.69,34.34,39.3,5.06
67,Mahebourg,75,MU,1555778341,78,-20.41,57.7,80.6,11.41
68,Tuktoyaktuk,90,CA,1555776000,78,69.44,-133.03,15.8,10.29
69,Puerto Ayora,20,EC,1555777884,79,-0.74,-90.35,84.2,4.7
70,Thompson,75,CA,1555776000,73,55.74,-97.86,26.6,13.87
71,Hithadhoo,100,MV,1555778867,80,-0.6,73.08,84.84,13.56
72,Lagoa,40,PT,1555777955,72,37.14,-8.45,71.01,10.29
73,Price,1,US,1555778763,23,39.6,-110.81,61.0,4.7
74,Coquimbo,75,CL,1555776000,67,-29.95,-71.34,60.8,6.93
75,Tayu,40,JP,1555778659,82,35.06,136.67,57.2,5.82
76,Puerto Leguizamo,90,CO,1555778869,85,-0.19,-74.78,83.22,2.01
77,New Norfolk,0,AU,1555778235,82,-42.78,147.06,64.99,8.05
78,Bambous Virieux,75,MU,1555778341,78,-20.34,57.76,80.6,11.41
79,Hinton,0,CA,1555778869,23,53.4,-117.57,39.48,7.29
80,Seminole,1,US,1555778129,28,32.72,-102.64,75.99,12.75
81,Turayf,20,SA,1555776000,29,31.68,38.65,62.6,13.87
82,Ottumwa,1,US,1555778521,23,41.02,-92.41,64.99,5.41
83,Bedele,78,ET,1555778870,72,8.46,36.35,63.6,4.41
84,Pangkalanbuun,85,ID,1555778445,97,-2.68,111.62,74.04,0.78
85,Saint-Philippe,90,CA,1555778293,87,45.36,-73.48,44.6,17.22
86,Candabong,29,PH,1555778871,90,9.97,123.41,71.34,5.21
87,Ikauna,0,IN,1555778871,25,27.53,81.97,84.48,3.98
88,Bethel,90,US,1555777380,92,60.79,-161.76,23.0,5.82
89,Saint-Pierre,0,FR,1555777871,25,48.95,4.24,77.0,16.11
90,Lugovoy,89,RU,1555778872,90,59.72,65.88,33.9,4.21
91,Brae,100,GB,1555775400,87,60.4,-1.35,50.0,19.46
92,Bluff,0,AU,1555777998,88,-23.58,149.07,67.02,12.41
93,Los Llanos de Aridane,75,ES,1555778135,64,28.66,-17.92,68.0,14.99
94,Buzhakan,40,AM,1555777800,66,40.45,44.52,48.2,3.36
95,Khani,90,GE,1555776000,81,41.96,42.96,50.0,3.36
96,Shahrud,99,IR,1555778873,97,36.42,54.97,28.14,9.08
97,Srednekolymsk,0,RU,1555778873,82,67.46,153.71,2.4,8.3
98,Vangaindrano,97,MG,1555778874,95,-23.35,47.6,70.98,3.18
99,Vanavara,100,RU,1555778874,94,60.35,102.28,19.68,2.08
100,Betanzos,0,ES,1555778714,68,43.28,-8.21,71.6,10.29
101,Atuona,15,PF,1555778204,74,-9.8,-139.03,83.22,12.26
102,Nadym,59,RU,1555778875,90,65.53,72.51,12.66,6.2
103,Carnarvon,50,ZA,1555778211,19,-30.97,22.13,62.88,6.89
104,Moses Lake,90,US,1555778806,47,47.13,-119.28,57.99,16.11
105,Saskylakh,97,RU,1555778875,96,71.97,114.09,12.48,5.12
106,Aden,65,YE,1555778811,71,12.79,45.03,83.04,6.89
107,North Bend,90,US,1555778738,76,43.41,-124.22,52.0,18.34
108,Poronaysk,0,RU,1555778876,68,49.22,143.1,29.76,3.06
109,Ixtapa,5,MX,1555778114,57,20.71,-105.21,80.6,4.7
110,Sobolevo,100,RU,1555778877,80,54.43,31.9,45.78,3.29
111,Clyde River,75,CA,1555776000,77,70.47,-68.59,-0.41,20.8
112,Manta,69,RO,1555778877,66,45.1,24.1,48.12,2.8
113,Hilo,90,US,1555778248,88,19.71,-155.08,68.0,4.7
114,Am Timan,44,TD,1555778878,7,11.04,20.28,98.34,2.93
115,Tiksi,65,RU,1555778314,90,71.64,128.87,9.06,10.29
116,San Cristobal,75,EC,1555777872,68,-0.39,-78.55,66.2,2.24
117,Bunia,84,CD,1555778878,56,1.56,30.25,74.4,3.56
118,Kikwit,100,CD,1555778879,47,-5.04,18.82,85.2,1.05
119,Angoche,34,MZ,1555778879,80,-16.23,39.91,77.28,6.24
120,Piacabucu,32,BR,1555778879,70,-10.41,-36.43,85.74,9.57
121,Sampit,100,ID,1555778880,98,-2.54,112.95,74.04,0.65
122,Codrington,75,AU,1555778192,100,-28.95,153.24,71.6,2.75
123,Nome,1,US,1555778829,35,30.04,-94.42,73.0,3.36
124,Thinadhoo,98,MV,1555778881,74,0.53,72.93,86.46,17.78
125,Severo-Kurilsk,76,RU,1555778287,81,50.68,156.12,34.98,15.59
126,Nishihara,75,JP,1555778699,77,35.74,139.53,63.0,12.75
127,Khatanga,32,RU,1555778882,91,71.98,102.47,-5.16,8.03
128,Airai,32,TL,1555778372,71,-8.93,125.41,74.4,6.26
129,Tuatapere,1,NZ,1555778302,81,-46.13,167.69,55.14,9.01
130,Chokurdakh,0,RU,1555778883,89,70.62,147.9,4.38,7.0
131,Grindavik,75,IS,1555776000,81,63.84,-22.43,44.6,28.86
132,Vostok,96,RU,1555778884,48,46.45,135.83,36.78,5.32
133,Ferzikovo,0,RU,1555776000,34,54.52,36.76,53.6,4.47
134,Kailua,40,US,1555778766,69,21.39,-157.74,75.2,14.99
135,Urucara,100,BR,1555778885,74,-2.54,-57.76,85.74,3.09
136,Oistins,40,BB,1555776000,62,13.07,-59.53,86.0,23.04
137,Pochutla,5,MX,1555777872,45,15.74,-96.47,90.0,3.98
138,Luang Prabang,0,LA,1555778886,37,19.89,102.14,76.74,1.54
139,Broome,0,GB,1555778404,45,52.47,1.45,73.4,8.05
140,Pevek,100,RU,1555778886,95,69.7,170.27,6.9,10.04
141,Half Moon Bay,90,US,1555778384,93,37.46,-122.43,60.01,17.22
142,Pundaguitan,67,PH,1555778887,75,6.37,126.17,82.32,8.01
143,Chuy,56,UY,1555778887,62,-33.69,-53.46,67.38,15.01
144,Georgetown,75,GY,1555776000,52,6.8,-58.16,89.6,16.11
145,Tabuk,64,PH,1555778888,98,17.41,121.44,66.12,2.3
146,Chongwe,0,ZM,1555776000,77,-15.33,28.68,68.0,6.93
147,Hamilton,90,CA,1555778201,100,43.26,-79.87,45.0,32.21
148,Chumikan,100,RU,1555778888,98,54.72,135.31,24.0,4.09
149,Honolulu,40,US,1555778766,73,21.3,-157.86,75.2,12.75
150,Kodiak,1,US,1555778278,2,39.95,-94.76,68.0,11.41
151,Ketchikan,1,US,1555775580,93,55.34,-131.65,39.2,6.93
152,Straseni,0,MD,1555778594,32,47.14,28.61,55.4,5.82
153,Kirakira,100,SB,1555778301,84,-10.46,161.92,79.98,2.51
154,Faanui,24,PF,1555778315,75,-16.48,-151.75,83.22,5.08
155,Kupino,74,RU,1555778890,52,54.36,77.31,37.5,8.97
156,Amga,100,RU,1555778891,96,60.89,131.98,29.76,5.66
157,Sosnogorsk,94,RU,1555778891,88,63.59,53.93,31.74,6.46
158,Barrow,4,AR,1555778891,51,-38.31,-60.23,63.6,11.65
159,Keflavik,75,IS,1555777800,81,64.0,-22.56,44.6,29.97
160,Shakhta,40,UA,1555778892,58,48.64,22.31,50.64,1.86
161,Yarada,0,IN,1555776000,88,17.65,83.27,73.4,5.82
162,Chapais,1,CA,1555776000,42,49.78,-74.86,46.4,9.17
163,Yaguajay,22,CU,1555778893,72,22.33,-79.24,79.98,10.42
164,Marzuq,100,YE,1555778893,39,14.4,46.47,83.76,7.65
165,Queenstown,52,NZ,1555778893,94,-45.03,168.66,40.02,4.16
166,Dhidhdhoo,100,MV,1555778894,72,6.88,73.1,85.38,12.08
167,Inyonga,47,TZ,1555778894,87,-6.72,32.06,68.28,4.29
168,Tshikapa,86,CD,1555778385,59,-6.42,20.79,80.52,0.74
169,Qaanaaq,56,GL,1555778895,83,77.48,-69.36,-7.68,3.31
170,Neuquen,0,AR,1555776000,36,-38.95,-68.06,62.6,2.24
171,Kutulik,16,RU,1555778895,34,53.35,102.79,32.28,7.31
172,Bilibino,13,RU,1555778895,89,68.06,166.44,-8.04,3.29
173,Ocu,99,PA,1555778878,90,7.95,-80.78,99.0,5.77
174,Kerema,49,PG,1555778896,84,-7.96,145.78,79.26,5.21
175,Katsuura,20,JP,1555778289,71,33.93,134.5,61.0,2.24
176,Cochrane,0,CL,1555778896,41,-47.25,-72.57,58.56,7.47
177,Kenai,20,US,1555778425,68,60.55,-151.26,35.01,10.29
178,Kedougou,0,SN,1555778897,13,12.56,-12.19,104.82,4.34
179,Palauig,23,PH,1555778897,70,15.44,119.9,85.2,4.16
180,Bethanien,0,NA,1555778897,15,-26.5,17.16,70.08,9.15
181,Inongo,85,CD,1555778898,61,-1.93,18.29,81.96,0.29
182,Caravelas,3,BR,1555778150,66,-17.73,-39.27,85.56,7.27
183,Ust-Kuyga,45,RU,1555778898,50,70.0,135.55,5.1,2.33
184,Ruteng,67,ID,1555778898,85,-8.61,120.46,74.58,3.31
185,Marsh Harbour,91,BS,1555778899,73,26.54,-77.06,70.98,13.29
186,Birjand,0,IR,1555776000,11,32.86,59.22,73.4,7.09
187,Martapura,90,ID,1555776000,100,-3.41,114.85,75.2,3.36
188,Abay,75,KZ,1555776000,92,49.63,72.87,28.4,6.71
189,Sitka,0,US,1555777885,33,37.17,-99.65,75.99,13.0
190,San Julian,0,SV,1555775400,47,13.7,-89.56,91.4,11.41
191,Phuket,20,TH,1555776000,74,7.89,98.4,86.0,5.82
192,Richards Bay,37,ZA,1555778901,81,-28.77,32.06,76.38,28.01
193,Aklavik,75,CA,1555776000,85,68.22,-135.01,19.4,3.36
194,Sorgun,100,TR,1555778901,85,39.81,35.19,34.8,10.09
195,Narsaq,75,GL,1555775400,44,60.91,-46.05,39.2,6.93
196,Ukiah,90,US,1555778896,67,39.15,-123.21,63.0,10.29
197,Monrovia,75,LR,1555776000,62,6.33,-10.8,89.6,9.17
198,Huilong,53,CN,1555778418,91,28.89,110.18,65.04,3.06
199,Ewa Beach,1,US,1555778589,73,21.32,-158.01,75.2,4.7
200,Hambantota,75,LK,1555773000,100,6.12,81.12,78.8,4.7
201,Bouna,79,CI,1555778903,37,9.27,-3.0,95.46,6.73
202,Sorland,100,NO,1555778904,94,67.67,12.69,43.98,29.73
203,Columbus,90,US,1555778732,87,32.46,-84.99,61.0,16.11
204,Road Town,40,VG,1555778832,54,18.42,-64.62,84.2,9.17
205,Hasaki,75,JP,1555777926,87,35.73,140.83,55.4,1.12
206,Saint Anthony,1,US,1555778714,38,43.97,-111.68,64.0,11.41
207,Paamiut,100,GL,1555778323,88,61.99,-49.67,33.0,10.63
208,Port-Gentil,20,GA,1555776000,78,-0.72,8.78,82.4,6.93
209,San Luis,0,AR,1555778225,60,-33.3,-66.34,71.01,24.47
210,Niquero,0,CU,1555778906,68,20.04,-77.58,82.14,9.71
